"","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"638",2017,2,25,2502102,2,3,1,162.820899,194.315073,"A","C","C","B","A","A","A","E","E","B"
"1557",2017,3,31,3171303,2,2,1,228.748647,215.358702,"B","B","C","B","A","A","B","D","A","A"
"543",2017,4,41,4116109,2,3,1,236.992432,218.567481,"A","F","D","A","B","B","B","B","A","B"
"800",2017,3,35,3550308,1,2,1,181.224451,221.969591,"A","C","C","A","C","C","A","B","B","A"
"906",2017,3,35,3550308,1,2,1,260.849952,273.726333,"A","A","D","B","A","B","A","B","A","B"
"1597",2017,2,25,2503308,2,3,1,163.612976,194.301435,"A","C","G","A","A","A","A","A","A","B"
"1138",2017,3,33,3303500,2,3,1,232.769251,229.230731,"B","A","C","B","A","A","B","D","B","A"
"980",2017,4,41,4117008,2,3,1,228.879604,261.12552,"A","C","C","B","A","A","A","D","B","B"
"333",2017,1,15,1500958,2,3,2,130.556022,155.445983,"A","C","E","A","A","A","B","B","A","A"
"1810",2017,3,35,3511102,2,3,1,244.213685,277.159967,"A","C","C","A","A","A","C","B","E","B"
"1064",2017,1,15,1505809,2,3,2,143.366772,154.856934,"B","B",NA,"A","A","A","B","A","D","B"
"217",2017,3,31,3106200,1,2,1,190.13145,188.716227,"A","C","C","B","A","B","A","D","D","B"
"615",2017,5,53,5300108,1,2,1,256.49978,264.955654,"B","C","C","C","A","A","A",NA,"B","B"
"12",2017,1,11,1100205,1,3,1,276.387713,265.973509,"A","C","D","A","A","A","A","A","A","A"
"1906",2017,3,35,3543907,2,3,1,175.225611,291.007626,"A","C","D","A","A","C","A","B","B","C"
"966",2017,2,21,2111201,2,3,1,247.060744,299.170757,"B","C","D",NA,"A","C","A","B","A","B"
"1537",2017,3,35,3501608,2,3,1,276.449968,214.626065,"B","C","C","B","A","C","A","D","A","A"
"1688",2017,3,35,3500907,2,3,1,252.840038,299.365933,"B","C","C","B","A","A","A","A","A","B"
"1090",2017,2,25,2507507,1,3,1,218.667994,180.168669,"B","C","D","A","A","A","A","B","A","B"
"436",2017,1,14,1400100,1,3,1,143.986627,154.441095,"A","A","C","B","A","A","B","D","A","A"
"1707",2017,4,41,4109401,2,3,1,224.827598,226.019661,"B","C","C","A","A","A","A","B","A","B"
"1467",2017,5,50,5000807,2,3,1,215.188738,217.930755,"B","C",NA,"A","B","A","A","B","A","B"
"490",2017,4,41,4122404,2,3,1,288.044091,351.709042,"B","A","C","C","A","A","C","C","B","C"
"1017",2017,3,33,3303500,2,3,1,148.973348,180.877439,"A","B","D","A","A","B","C","C","B","B"
"976",2017,3,31,3131703,2,3,1,243.110716,187.440093,"B","C","D","D","A","B","A","B","A","B"
"7",2017,4,43,6310376,2,2,1,256.461105,260.52982,"A","C","D","A","A","B","A","B","C","C"
"1224",2017,2,23,2312403,2,3,1,193.584207,196.082947,"A","C","D","A","A",NA,"B",NA,"E","B"
"835",2017,5,53,5300108,1,2,1,152.283082,145.613069,"A","C","D","B","A","B","A","B","E","C"
"1920",2017,5,52,5221858,2,3,1,257.662085,217.600599,"B","F","D","A","A","A","A","D","E","C"
"444",2017,3,31,3148103,2,3,1,253.124926,232.579296,"A","C","D","D","A","A","A","B","B","B"
"496",2017,2,26,2609303,2,3,1,173.576005,145.430302,"B","B","C","A","A","A","A","A","A","A"
"338",2017,5,50,5006606,2,2,2,259.804996,188.100629,"B","A","B","B","A","A","B","A","D","A"
"1773",2017,3,31,3143302,2,3,1,264.247174,283.807018,"A","A","D","B","A","A","A","B","A","C"
"182",2017,3,35,3522604,2,3,1,198.659187,242.449937,"A","C","D","B","A","B","B","D","A","C"
"1607",2017,3,35,3550308,1,2,1,245.697845,306.411105,"A","A","D","B","A","A","B","A","A","A"
"1178",2017,3,35,3523503,2,3,1,256.685941,267.346671,"A","B","C","B","A","A","B",NA,"A","B"
"734",2017,1,15,1500701,2,3,2,145.017754,133.597616,"B","B","C","A","A","A","A","A","A","C"
"1327",2017,2,21,2107803,2,3,1,161.919572,185.208368,"B","C","C","B","A","B","A","E","A","B"
"694",2017,2,26,2601003,2,3,1,162.522569,211.416393,"B","C","E","A","A","B","A","B","B","B"
"1780",2017,2,26,2602704,2,3,1,223.090394,245.724668,"A","A","D","B","A","A","B","B","E","A"
"1643",2017,1,12,1200401,1,3,1,235.041907,248.668853,"A","A","D","A","A","B","B","E","C","B"
"347",2017,2,25,2507507,1,3,1,229.335281,210.386688,"A","C","F","A","A","B","B","D","E","B"
"42",2017,3,33,3304144,2,3,1,178.564103,212.015894,"A","F","D","A","A","A","A","D","A","B"
"48",2017,5,51,5102504,2,3,1,158.782115,151.459519,"A","C","C","A","A","A","A","B","B","A"
"1432",2017,2,26,2612406,2,3,1,210.513516,190.132259,"B","C","C","B","A","A","A","B","B","B"
"562",2017,5,53,5300108,1,2,1,254.127625,188.266405,"B","F","C","B","A","A","A","B","A","B"
"1837",2017,4,43,4309209,2,3,1,242.301339,236.376621,"B","A","D","C","A","A",NA,"E","A","C"
"1891",2017,1,11,1100148,2,3,2,263.360832,269.61562,"B","C","D","A","A","C","C","D","D","A"
"519",2017,5,50,5007109,2,3,1,185.584761,217.629551,"A","F","E","A","A","A","A","B","C","B"
"1421",2017,3,31,3106200,1,3,1,201.869918,233.244526,"B","C","E","B","A","C","B","B","E","B"
"214",2017,3,35,3552403,2,2,1,201.107315,217.865026,"B","A","D","B","A","A","A","C","B","B"
"1021",2017,3,35,3550308,1,2,1,231.451803,273.166628,"B","C","D","B","A","B","C","D","A","B"
"1668",2017,3,35,3509007,2,3,1,255.733927,182.387091,"B","A","C","C","A","B","A","A","A","B"
"1307",2017,1,13,1304203,2,3,1,169.585758,192.482643,"A","C","E","B","A","B","A","D","A","C"
"1401",2017,3,35,3513108,2,3,1,225.948692,228.58646,"B","A","C","A","A","B","A","B","A","B"
"147",2017,4,42,4219176,2,3,1,233.128074,266.629573,"B","A","C","B","A","A","A","B","B","B"
"1018",2017,1,13,1302603,1,3,1,185.419811,223.621041,"A","F","C","A","A","A","A","A","D","C"
"1726",2017,4,42,4213708,2,2,1,234.96968,270.187734,"A","A","C","C","A","A","A","B","A","C"
"611",2017,3,35,3526902,2,3,1,239.587881,211.884659,"B","A","D","B","A","A","A","D","B","B"
"208",2017,1,15,1506104,2,3,1,243.298915,217.95736,"A","C","D","B","A","B","C","B","C","B"
"1095",2017,5,53,5300108,1,2,1,203.246756,220.153873,"A","F","D","B","A","B","C","B","C","C"
"364",2017,3,35,3504503,2,3,1,246.428493,248.387323,"B","A","D","C","A","C","C","C","A","C"
"1941",2017,2,29,2906808,2,3,1,141.792038,162.459855,"B","D","D","A","C","B","A","A","A","C"
"1462",2017,3,35,3552809,2,3,1,248.661207,220.299249,"B","C","C","B","A","C","A","B","E","A"
"354",2017,3,31,3111705,2,2,1,261.957329,237.454728,"A","C","D","A","A","A","B","B","A","B"
