"","replicate","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"779",26,2017,3,31,3133402,2,3,1,288.972029,258.939459,"B","A","D","B","A","A","A","D","A","C"
"780",26,2017,1,15,1502103,2,3,1,278.940354,208.831987,"A","B","D","B","A","B","C","A","A","C"
"781",27,2017,4,41,4126256,2,3,1,224.983842,239.129541,"B","E","C","B","A","A","A","D","B","C"
"782",27,2017,3,31,3115904,2,3,1,263.137704,201.226327,"B",NA,"D","B","A","A","A","B",NA,"B"
"783",27,2017,2,26,2614709,2,3,2,278.810333,261.111267,"B","C","C","A","A","A","A","B","A","B"
"784",27,2017,3,32,3204054,2,3,1,247.854475,218.726215,"A","C","D","A","A","A","A","A","B","B"
"785",27,2017,3,31,3127305,2,3,1,107.024986,123.35708,"A","F","D","A","A","A","A","C","C","A"
"786",27,2017,1,11,1101401,2,2,1,250.189717,255.628789,"B",NA,"D","A","A","B","C","D","A","A"
"787",27,2017,3,35,3552205,2,2,1,211.675214,229.716267,"B","C","C","E","A","B","B","A","A","A"
"788",27,2017,3,32,3205309,1,3,1,245.60369,260.282217,"A","C","C","B","A","A","A","A","A","B"
"789",27,2017,3,33,3304557,1,3,1,288.972029,263.03564,"B","A","D","B","A","A","B","D","A","C"
"790",27,2017,3,35,3527207,2,3,1,259.269599,238.180546,"A","A","C","A","B","A","A","C","E","B"
"791",27,2017,1,13,1302603,1,2,1,172.23338,212.541282,"A","C","C","B","A","B","A","B","D","C"
"792",27,2017,2,21,2112209,2,3,1,121.02443,134.828254,"A","C","C","A","A","A","B","D","C","B"
"793",27,2017,3,32,3205101,2,3,1,179.218282,225.425469,"A","B","C","A","A","A","B","C","A","A"
"794",27,2017,2,29,2910800,2,3,2,229.925331,204.421859,"B","F","D","A","A","B","A","D","C","A"
"795",27,2017,4,42,4204202,2,2,1,240.950119,292.035263,"B","A","D","C","A","A","B","C","A","B"
"796",27,2017,5,52,5208509,2,3,1,238.51951,267.4437,"A","C","D","A","A","A","A","B",NA,"B"
"797",27,2017,3,35,3550308,1,3,1,204.906995,199.064915,"B","C","C","A","A","B","A","D",NA,"B"
"798",27,2017,3,31,3170107,2,2,1,221.869249,223.328221,"A","A","C","C","A","A","B","D","E","B"
"799",27,2017,3,35,3524402,2,3,1,209.301462,241.963953,"A","A","D","A","A","A","B","A","A","A"
"800",27,2017,1,11,1100122,2,2,1,195.821273,197.310063,"A","A","D","A","A","A","A","A","A","A"
"801",27,2017,3,35,3534401,2,3,1,217.100037,215.907677,"B","D","D","D","A","A","A","D","B","B"
"802",27,2017,1,12,1200401,1,2,1,318.224896,307.574839,"A","C","D","A","A","B","C","D","D","C"
"803",27,2017,3,35,3548500,2,3,1,162.259773,208.264848,"B","A","D","B","A","A","B","D","A","A"
"804",27,2017,1,13,1300607,2,2,1,136.616568,203.02891,"A","C","D","D","A","A","A","A","A","A"
"805",27,2017,2,26,2609303,2,3,1,173.576005,145.430302,"B","B","C","A","A","A","A","A","A","A"
"806",27,2017,4,43,4310603,2,3,1,238.556974,259.007368,"A","A","D","A","A","C","A","A","C","B"
"807",27,2017,3,33,3304508,2,3,1,213.257826,189.993758,"B","B","E","A","A","A","B","B","B","B"
