ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,33,3304557,1,3,1,218.541775,209.434171,B,C,D,A,A,C,B,D,E,B
2017,2,26,2611002,2,3,1,169.487967,169.934951,A,C,D,A,A,B,A,D,B,A
2017,1,15,1500602,2,3,1,277.949444,227.145779,B,C,D,B,A,A,C,D,A,C
2017,3,35,3526407,2,3,1,267.118916,264.560215,B,A,C,B,A,A,A,B,A,B
2017,3,35,3518107,2,2,1,285.902722,286.629189,A,A,D,A,A,B,C,E,B,C
2017,4,41,4120002,2,3,1,235.815197,262.962365,A,C,D,B,A,C,A,A,A,A
2017,1,13,1302603,1,2,1,164.034826,175.373219,B,C,D,A,A,A,B,D,E,A
2017,1,15,1501907,2,3,2,154.103587,149.259876,A,B,G,A,A,A,A,B, ,A
2017,3,31,3106200,1,3,1,262.808962,252.642965,B,A,D,D,A,B,A,D,A,B
2017,4,41,4108304,2,3,1,284.883164,258.127567,A,A,C,A,C,C,A,D,A,B
2017,3,31,3160454,2,2,1,215.020648,190.967905,A,C,D,B,A,A,C,E,E,B
2017,2,29,2903805,2,3,1,167.661512,175.010757,A,B,D,A,A,A,A,A,A,A
2017,2,23,2307635,2,3,2,255.638175,242.867732,B,C,D,A,A,B,A,C,E,B
2017,3,35,3518701,2,2,1,152.587417,173.593104,A,C,E,A,A,A,A,A,D,B
2017,2,26,2611606,1,3,1,207.210944,203.644844,B,F,C,A,A,A,B,A,E,A
2017,2,23,2311504,2,3,1,224.097776,250.469424,B,C,C,B,A,A,A,B,B,A
2017,2,21,2103000,2,3,1,146.665817,149.862284,A,C,D,A,A,A,C,A,A,A
2017,2,29,2928950,2,3,2,151.304403,173.539839,B,C,D,A,A,B,A,C,A,A
2017,4,41,4107207,2,3,2,207.504647,184.922535,B,A,C,A,A,A,A,A,D,B
2017,3,35,3517406,2,3,1,224.741046,212.610812,B,D,C,A,A,A,A,C,C,B
2017,2,23,2312908,2,3,1,272.880414,279.225524,B,C,C,A,A,C,B,B,B,B
2017,3,35,3535309,2,3,1,147.783166,197.791632,A,C,C,B,A,B,A,D,A,A
2017,3,35,3503000,2,3,1,304.366106,301.317861,B,F,C,C,A,B,A,B,A,B
2017,3,35,3550308,1,3,1,289.342752,280.13601,A,C,D,B,A,A,A,D,A,B
2017,5,52,5220686,2,3,1,201.201911,209.857164,A,D,C,B,A,A,C,B,A,A
2017,2,21,2112308,2,3,1,124.64803,151.340524,A,C,C,A,A,A,A,E,A,C
2017,3,35,3554102,2,3,1,235.709914,285.339641,A,C,C,B,A,A,B,A,B,C
2017,5,51,5105101,2,2,1,228.156283,264.870474,A,C,D,C,A,A,B,D,B,A
2017,3,35,3509502,2,2,1,217.551527,195.652297,A,A,D,A,A,A,B,D,D,B
2017,4,42,4209300,2,3,1,248.108014,214.992607,B,A,D,B,A,A,A,A,A,A
2017,2,24,2404853,2,3,1,173.326212,178.876103,B,C,C,A,A,B,B,D,D,B
2017,4,42,4209102,2,2,1,231.006649,241.610099,B,A,C,D,A,B,A,B,A,A
2017,1,17,1709500,2,2,1,252.865051,199.067989,B,C,D,B,A,A,A,C,B,A
2017,3,31,3106705,2,3,1,201.113155,255.472793,B,C,C,B,A, ,B,B,A,B
2017,3,35,3550308,1,2,1,243.780431,321.121574,B,D,D,B,A,A,A,C,A,B
2017,4,41,4127403,2,3,1,139.895945,190.555699,B,C,C,A,A,A,A,D,E,A
2017,2,24,2408102,1,3,1,121.717449,159.41132,B,A,C,A,A,B,A,B,B,A
2017,3,35,3513504,2,3,1,228.562101,253.168576,A,C,D,B,A,B,A,B,A,A
2017,3,35,3513801,2,2,1,300.809388,295.743886,B,C,D,A,A,A,A,A,B,B
2017,2,29,2903300,2,3,1,219.951119,243.715842,A,C,E,A,A,C,A,A,C,A
2017,5,52,5208103,2,3,1,262.678776,232.379704,B,A,D,B,A,A,A,A,D,C
2017,5,52,5204508,2,3,1,236.774153,171.243167,B,C,D,A,A,B,A,B,A,A
2017,2,23,2312304,2,3,2,273.005917,268.0484,B,C,D,B,A,A,A,C,C,A
2017,1,13,1302603,1,3,1,230.416434,233.509233,B,C,D,A,A,A,A,B,C,C
2017,4,42,4219176,2,3,1,233.128074,266.629573,B,A,C,B,A,A,A,B,B,B
2017,5,53,5300108,1,2,1,199.034813,183.30434,A,B,E,A,A,B,C,A,A,B
2017,3,31,3157708,2,3,1,283.691715,337.612941,A,C,C,B,A,B,A,D,B,B
2017,2,24,2403251,2,3,1,190.130183,237.238145,A,D,D,A,B,C,B,B,A,A
2017,4,43,4305173,2,3,2,107.981572,161.104578,B,A,E,A,A,A,A,A,A,C
2017,3,31,3134905,2,2,1,235.300405,251.242415,B,C,C,A,A,B,C,D,D,B
2017,3,31,3103405,2,2,1,294.113121,292.20512,B,C,C,C,A,A,A,C,A,B
2017,3,31,3170206,2,3,1,184.097074,200.158951,B,C,D,A,A, ,C,B,A,B
2017,1,13,1303536,2,3,2,274.233342,241.791078,A,A, ,A,A,C,A,A,A,C
2017,3,31,3106200,1,2,1,323.300317,354.352805,A,C,C,B,A,B,A, ,A,B
2017,2,22,2205557,2,3,1,154.032075,142.502214,A,D,E,A,A,A,C,B,B,B
2017,3,31,3114303,2,3,1,286.705928,298.064089,B,C,D,B,A,A,A,C,C,A
2017,2,23,2300804,2,3,1,181.209411,172.285615,B,B,C,A,A,B,C, ,B,A
2017,1,13,1300607,2,2,1,136.616568,203.02891,A,C,D,D,A,A,A,A,A,A
2017,2,28,2806701,2,3,1,125.481648,163.479555,A,B,F,A,A,A,A,D,B,A
2017,1,17,1707652,2,3,1,172.223133,191.942555,A,C,D,B, ,B,B,A,A,B
2017,2,23,2311959,2,3,2,248.533004,287.257307,A,C,D,A,A,A,B,E,E,A
2017,1,15,1506807,2,3,1,195.721554,263.008868,A,F,D,A,A,B,A,B,A,B
2017,2,26,2600054,2,3,1,230.570364,244.119944,A,C,C,A,A,B,B,B,B,B
2017,3,33,3302403,2,3,1,241.412683,181.276343,A,C,D,B,A,A,B,B,A,B
2017,2,29,2928109,2,3,2,168.28864,199.150989,A,C,H,A,A,A,A,D,D,A
2017,3,31,3170206,2,3,2,201.178992,198.904168,B,F,H,A,A,B,C,A,A,C
2017,1,13,1302603,1,3,1,265.829841,251.847952,A,C,C,B,A,A,C,D,D,C
2017,1,13,1302603,1,3,1,252.18922,248.116692,B,C,D,A,A,C,A,D,A,B
2017,2,23,2308401,2,3,1,135.391622,178.342667,A,C,D,A,A,B,B,C,B,C
2017,4,41,4113700,2,3,1,285.919856,299.227767,B,A,C,B,A,A,B,B,A,B
2017,5,50,5004700,2,2,1,321.640024,351.222611,A,A,D,D,A,A,A,D,A,C
2017,2,25,2509156,2,3,1,267.607759,216.123309,B,A,D,B,A,A,A,C,A,A
2017,4,41,4108551,2,3,1,236.745724,239.224055,B,C,C,B,A,B,B,A,B,B
2017,2,29,2919306,2,3,2,150.745867,158.879281,A,A,C,A,A,A,A,A,D,A
2017,4,42,4202404,2,3,1,223.680774,179.448496,B,E,D,B,B,A,B,A,A,A
2017,4,43,4311106,2,3,1,193.658142,244.624316,A,D,C,A,A,A,B,B,E,A
2017,5,53,5300108,1,2,1,230.090667,205.204463,B,C,D,B,A,A,A,B,D,C
2017,3,31,3149309,2,3,1,203.94848,206.119309,B,B,D,A,A,B,A,D,D,B
2017,3,31,3106200,1,3,1,184.825243,202.756827,A,C,D,C,A,A,A,B,B,B
2017,3,35,3522604,2,3,1,198.659187,242.449937,A,C,D,B,A,B,B,D,A,C
2017,2,29,2918001,2,3,1,268.964653,265.797336,B,C,C,B,A,A,A,A,A,C
2017,4,43,4318309,2,2,1,162.536893,271.518531,A,F,D,C,B,A,A,D,D,A
2017,3,33,3304557,1,3,1,210.181082,218.388793,A,A,C,D,A,B,B,A,E,B
2017,3,31,3164506,2,2,1,216.447732,232.188385,A,F,C,B,B,A,B,D,D,B
2017,5,52,5204508,2,3,1,220.457151,223.089114,A,D,E,A,A,C,C,B,A,B
2017,3,31,3101706,2,3,1,179.591264,212.908494,A,A,C,A,B,A,B,A,B,A
2017,1,17,1701002,2,3,1,144.412168,164.054519,A,D,D,A,C,A,A,B,B,B
2017,3,35,3519071,2,3,1,256.074459,239.852956,B,A,D,A,A,A,A,A,B,C
2017,2,24,2405405,2,2,1,136.059574,200.278058,A,B,F,A,A,A,B,A,B,C
2017,5,52,5214507,2,3,1,226.233801,199.228344,B,C,C,B, ,A,C,E,A,B
2017,3,32,3203205,2,3,1,197.019829,186.706842,B,C,E,A,A,A,A,D,A,B
2017,5,53,5300108,1,2,1,266.586273,195.03178,B,C,D,A,A,A,C,B,A,A
2017,3,33,3303500,2,3,1,266.694421,256.269595,B,C,D,B,A,A,A,B,E,C
2017,3,35,3550308,1,3,1,158.543451,170.270976,A,F, ,C,A,B,B,D,B,A
2017,2,23,2307650,2,3,1,272.556631,259.0015,A,C,C,B,A,A,C,D,A,C
2017,5,53,5300108,1,2,1,222.724574,246.841565,B,A,D,B,A,A,A,D,E,A
2017,5,50,5008305,2,3,1,215.826279,211.170802,A,C,H,B,A,B,C,A,D,B
2017,3,32,3205101,2,3,1,299.681407,235.715582,B,C,D,B,A,A,A,B,A,A
2017,2,24,2407807,2,3,2,142.767631,164.800291,B,C,D,A,A,B,C, ,A,C
2017,4,43,4314902,1,2,1,240.015791,174.259452,A,C,D,C,A,B,C,B,A,B
2017,2,26,2616407,2,3,1,161.658264,241.439012,A,C,D,C,A,A,A,A,A,B
2017,1,17,1703891,2,3,1,132.50528,179.955216,B,A,C,A,A,C,A,A,D,A
2017,3,31,3140001,2,2,1,270.757502,302.013944,A,C,D,B,B,A,B,D,E,A
2017,5,52,5208707,1,3,1,190.682494,205.850355,B,C,D,B,A,C,A,A,B,C
2017,2,26,2611101,2,3,1,242.781974,329.523421,A,C,D,C,A,A,B,C,B,B
2017,1,15,1506104,2,3,1,243.298915,217.95736,A,C,D,B,A,B,C,B,C,B
2017,4,41,4119152,2,3,1,271.303091,259.115073,B,C,C,B,A,A,A,C,B,B
2017,2,28,2801306,2,3,2,198.518644,167.324835,B, ,D,A,C,B,B,E,D,B
2017,1,15,1501709,2,2,1,188.907166,230.718361,A,C,C,A,A,A,A,A,A,A
2017,1,17,1718451,2,3,1,137.074614,157.469397,B,E,D,C,C,B,C,B,C,C
2017,3,31,3106200,1,2,1,264.442315,203.535574,A,A,D,B,A,B,A,A,B,A
2017,3,35,3552403,2,2,1,201.107315,217.865026,B,A,D,B,A,A,A,C,B,B
2017,4,43,4314902,1,2,1,202.061643,172.086638,A,A,D,A,A,A,A,A,C,C
2017,1,15,1504422,2,3,1,202.402505,262.454863,B,C,C,B,A,A,A,B,B,B
2017,3,31,3106200,1,2,1,190.13145,188.716227,A,C,C,B,A,B,A,D,D,B
2017,2,25,2508000,2,3,1,208.714772,220.470726,A,C,E,A,A,A,A,C,E,A
2017,3,35,3550308,1,3,1,161.809385,178.705016,B,C,D,A,A,A,B,B,B,B
2017,2,29,2913408,2,3,2,150.46748,186.875357,A,F,D,A,C,A,A,C,D,C
2017,2,27,2704302,1,3,1,167.594188,221.733278,A,E,H,A,A,A,A,A,A,B
2017,5,50,5005707,2,3,1,159.180054,180.285987,B,A,E,A,A,C, ,A,A,C
2017,4,41,4104808,2,3,1,193.705798,193.802764,B,B,C,C,A,A,A,A,B,B
2017,4,41,4118204,2,3,1,254.968791,263.054364,B,A,D,C,B,A,A,D,A,A
2017,3,31,3138658,2,2,1,228.533287,231.095746,B,C,C,B,A, , , ,A,A
